SUPP_CODE,SUPP_NAME,BRAND_CODE,BRAND_COD2,BRAND_LINE,LINES,BRANDGROUP,GROUP,MAINGROUP,IB,TGT_QTR1,TGT_QTR2,TGT_QTR3,TGT_QTR4,TRG_TOT,SUP_TRG,RGROUP,TGROUP,RANKGRP,LINEFLAG,PRODUCT,GROUPLINES,BR_LINES,BR_CLASS,ITSUB_TYPE
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0150,0150,EAU SAUVAGE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0152,0152,JULES,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0153,0153,FAHRENHEIT,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0156,0156,EAU DE DOLCE VITA,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0200,0200,MAKE UP-EYES,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0211,0211,MAKE UP-FACE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0212,0212,PROMOTION ITEM,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0221,0221,MAKE UP-LIPS (LIPSTICK),,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0231,0231,MAKE UP-NAILS,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0300,0300,SKIN CARE-H.D.-DRY/SENSITIVE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0302,0302,SKIN CARE-H.D.-OILY,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0304,0304,SKIN CARE MODEL LIFT,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0311,0311,SKIN CARE-RESULTANTE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0321,0321,SKIN CARE-CAPTURE-FACE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0322,0322,SKIN CARE-CAPTURE-EYES,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0333,0333,SKIN CARE GENERAL,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0336,0336,SKIN CARE-SVELTE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0337,0337,SKIN CARE-NO AGE,,,C'DIOR DISCONTINUED,C'DIOR DISCOUNTINUED,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0339,0339,DIOR BRONZE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0341,0341,EQUITE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0351,0351,HYDRA STAR,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0360,0360,HYDRA MOVE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0400,0400,ETHIQUE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0402,0402,GENERAL,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0403,0403,MAKEUP-,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120D,CHRISTIAN DIOR DISCONTINUED ITEMS,0100,0100,MISS DIOR,,,C'DIOR DISCONTINUED,C'DIOR DISCOUNTINUED,0,0,0,0,0,0,0,MISS DIOR/DIORELLA,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120D,CHRISTIAN DIOR DISCONTINUED ITEMS,0101,0101,DIORISSIMO,,,C'DIOR DISCONTINUED,C'DIOR DISCOUNTINUED,0,0,0,0,0,0,0,DIORISSIMO,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120D,CHRISTIAN DIOR DISCONTINUED ITEMS,0102,0102,DIORELLA,,,C'DIOR DISCONTINUED,C'DIOR DISCOUNTINUED,0,0,0,0,0,0,0,MISS DIOR/DIORELLA,WOMEN FRAGRANCES,WOMEN,0,,,,,
16-120D,CHRISTIAN DIOR DISCONTINUED ITEMS,0103,0103,DIORESSENCE,,,C'DIOR DISCONTINUED,C'DIOR DISCOUNTINUED,0,0,0,0,0,0,0,MISS DIOR/DIORELLA,WOMEN FRAGRANCES,WOMEN,0,,,,,
