LOCATION,TYPE,DTE,VOUNO,SUPP_CUSTM,TOTAMOUNT,DISCOUNT,DISC_ADDED,OTHER_CHRG,ORDER_REF,LC_NO,INVNO,EXCH_RATE,LND_RATE,CREDITCODE,SALES_MAN,SPARE,STVDESTIN,ORDTYPE,ORDER_REF2,ENTRYDTE,CLIENT,CARD,ORDER_REF3,ADDRESS,TEL
1,5,1/29/2018,21810064,,0,0,0,0,,,,0,0,5,,,16,1,,,,,,,
1,6,1/29/2018,802788,25-120,1472.511,0,0,0,,,,0,0,5,,,2,1,,,,,,,
1,2,1/29/2018,21810004,20-42,0,0,0,0,,,y,0,0,5,,,2,1,,,,,,,
1,2,1/29/2018,21810005,20-42,0,0,0,0,,,y,0,0,5,,,2,1,,,,,,,
1,7,1/29/2018,8027881,25-120,0,0,0,0,,,,0,0,5,,,2,1,,,,,,,
22,2,1/19/2018,18120049,17-4491,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/19/2018,18120050,17-4491,173,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/19/2018,18120051,17-4491,168,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/19/2018,18120052,17-4491,664,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/19/2018,18120053,17-4491,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/20/2018,18120054,17-4491,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/20/2018,18120055,17-4491,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/20/2018,18120056,17-4491,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/19/2018,18130022,,614,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/20/2018,18130023,,2100,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/22/2018,18120057,17-4491,365,20,0,0,,,,0,0,1,,,2,1,,,,,,,
